ruler,config,block_id,chapter_id,side,role,term_ids,form,start,end,surface,credited,context
gold,S0,d2l_preliminaries_index_b002,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,20,33,deep learning,true,"To get started with [[deep learning]],
we will need to develop a few basic skills.
All machine learning is "
gold,S0,d2l_preliminaries_index_b002,d2l_preliminaries,source,denominator,gold:machine learning,machine learning,83,99,machine learning,true,"d with deep learning,
we will need to develop a few basic skills.
All [[machine learning]] is concerned
with extracting information from data.
So we will begin "
gold,S0,d2l_preliminaries_index_b002,d2l_preliminaries,source,denominator,gold:data,data,146,150,data,true,"s.
All machine learning is concerned
with extracting information from [[data]].
So we will begin by learning the practical skills
for storing, manip"
gold,S0,d2l_preliminaries_index_b002,d2l_preliminaries,source,denominator,gold:data,data,247,251,data,true,"ing the practical skills
for storing, manipulating, and preprocessing [[data]]."
gold,S0,d2l_preliminaries_index_b002,d2l_preliminaries,target,active,gold:deep learning,học sâu,15,22,học sâu,true,"Để bắt đầu với [[học sâu]], chúng ta sẽ cần phát triển một vài kỹ năng cơ bản. Mọi học máy đều l"
gold,S0,d2l_preliminaries_index_b002,d2l_preliminaries,target,active,gold:machine learning,học máy,79,86,học máy,true,"u với học sâu, chúng ta sẽ cần phát triển một vài kỹ năng cơ bản. Mọi [[học máy]] đều liên quan đến việc trích xuất thông tin từ dữ liệu. Vì vậy, chúng"
gold,S0,d2l_preliminaries_index_b002,d2l_preliminaries,target,active,gold:data,dữ liệu,134,141,dữ liệu,true,"ng cơ bản. Mọi học máy đều liên quan đến việc trích xuất thông tin từ [[dữ liệu]]. Vì vậy, chúng ta sẽ bắt đầu bằng cách học các kỹ năng thực hành để l"
gold,S0,d2l_preliminaries_index_b002,d2l_preliminaries,target,active,gold:data,dữ liệu,242,249,dữ liệu,true,"ằng cách học các kỹ năng thực hành để lưu trữ, thao tác và tiền xử lý [[dữ liệu]]."
gold,S0,d2l_preliminaries_index_b003,d2l_preliminaries,source,denominator,gold:machine learning,machine learning,10,26,machine learning,true,"Moreover, [[machine learning]] typically requires
working with large datasets, which we can think of"
gold,S0,d2l_preliminaries_index_b003,d2l_preliminaries,source,denominator,gold:linear algebra,linear algebra,188,202,Linear algebra,true,"rows correspond to examples
and the columns correspond to attributes.
[[Linear algebra]] gives us a powerful set of techniques
for working with tabular data.
"
gold,S0,d2l_preliminaries_index_b003,d2l_preliminaries,source,denominator,gold:data,data,266,270,data,true,"lgebra gives us a powerful set of techniques
for working with tabular [[data]].
We will not go too far into the weeds but rather focus on the basic
"
gold,S0,d2l_preliminaries_index_b003,d2l_preliminaries,source,denominator,gold:implementation,implementation,371,385,implementation,true,"he weeds but rather focus on the basic
of matrix operations and their [[implementation]]."
gold,S0,d2l_preliminaries_index_b003,d2l_preliminaries,target,active,gold:machine learning,học máy,9,16,học máy,true,"Hơn nữa, [[học máy]] thường đòi hỏi làm việc với các bộ dữ liệu lớn, mà ta có thể xem như "
gold,S0,d2l_preliminaries_index_b003,d2l_preliminaries,target,active,gold:data,dữ liệu,52,59,dữ liệu,true,"Hơn nữa, học máy thường đòi hỏi làm việc với các bộ [[dữ liệu]] lớn, mà ta có thể xem như các bảng, trong đó các hàng tương ứng với c"
gold,S0,d2l_preliminaries_index_b003,d2l_preliminaries,target,active,gold:linear algebra,đại số tuyến tính,179,196,Đại số tuyến tính,true,hàng tương ứng với các ví dụ và các cột tương ứng với các thuộc tính. [[Đại số tuyến tính]] cung cấp cho chúng ta một bộ kỹ thuật mạnh mẽ để làm việc với dữ liệu
gold,S0,d2l_preliminaries_index_b003,d2l_preliminaries,target,shadow,"gold:robust (adjective for models, algorithms, systems)",mạnh mẽ,235,242,mạnh mẽ,false,c thuộc tính. Đại số tuyến tính cung cấp cho chúng ta một bộ kỹ thuật [[mạnh mẽ]] để làm việc với dữ liệu dạng bảng. Chúng ta sẽ không đi quá sâu vào c
gold,S0,d2l_preliminaries_index_b003,d2l_preliminaries,target,active,gold:data,dữ liệu,259,266,dữ liệu,false,ến tính cung cấp cho chúng ta một bộ kỹ thuật mạnh mẽ để làm việc với [[dữ liệu]] dạng bảng. Chúng ta sẽ không đi quá sâu vào chi tiết mà sẽ tập trung 
gold,S0,d2l_preliminaries_index_b004,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,14,27,deep learning,true,"Additionally, [[deep learning]] is all about optimization.
We have a model with some parameters and
w"
gold,S0,d2l_preliminaries_index_b004,d2l_preliminaries,source,denominator,gold:model,model,65,70,model,true,"Additionally, deep learning is all about optimization.
We have a [[model]] with some parameters and
we want to find those that fit our data *the"
gold,S0,d2l_preliminaries_index_b004,d2l_preliminaries,source,denominator,gold:fit,fit,123,126,fit,true,".
We have a model with some parameters and
we want to find those that [[fit]] our data *the best*.
Determining which way to move each parameter at "
gold,S0,d2l_preliminaries_index_b004,d2l_preliminaries,source,denominator,gold:data,data,131,135,data,true,"e a model with some parameters and
we want to find those that fit our [[data]] *the best*.
Determining which way to move each parameter at each step"
gold,S0,d2l_preliminaries_index_b004,d2l_preliminaries,target,active,gold:deep learning,học sâu,10,17,học sâu,true,"Ngoài ra, [[học sâu]] chủ yếu là về tối ưu hóa. Chúng ta có một mô hình với một số tham số "
gold,S0,d2l_preliminaries_index_b004,d2l_preliminaries,target,active,gold:model,mô hình,60,67,mô hình,true,"Ngoài ra, học sâu chủ yếu là về tối ưu hóa. Chúng ta có một [[mô hình]] với một số tham số và muốn tìm ra những tham số phù hợp với dữ liệu c"
gold,S0,d2l_preliminaries_index_b004,d2l_preliminaries,target,active,gold:data,dữ liệu,128,135,dữ liệu,true,t mô hình với một số tham số và muốn tìm ra những tham số phù hợp với [[dữ liệu]] của mình *nhất*. Việc xác định mỗi tham số nên dịch chuyển theo hướng
gold,S0,d2l_preliminaries_index_b005,d2l_preliminaries,source,denominator,gold:machine learning,machine learning,6,22,machine learning,true,"Next, [[machine learning]] is concerned with making predictions:
what is the likely value of som"
gold,S0,d2l_preliminaries_index_b005,d2l_preliminaries,source,denominator,gold:value,value,80,85,value,true,"ine learning is concerned with making predictions:
what is the likely [[value]] of some unknown attribute,
given the information that we observe?
To "
gold,S0,d2l_preliminaries_index_b005,d2l_preliminaries,target,active,gold:machine learning,học máy,11,18,học máy,true,"Tiếp theo, [[học máy]] liên quan đến việc đưa ra dự đoán: giá trị có khả năng xảy ra của một"
gold,S0,d2l_preliminaries_index_b005,d2l_preliminaries,target,active,gold:value,giá trị,54,61,giá trị,true,"Tiếp theo, học máy liên quan đến việc đưa ra dự đoán: [[giá trị]] có khả năng xảy ra của một thuộc tính chưa biết là gì, khi đã biết th"
gold,S0,d2l_preliminaries_index_b007,d2l_preliminaries,source,denominator,gold:deep learning,deep learning,102,115,deep learning,true,"cal content to the minimum necessary
to get a proper understanding of [[deep learning]].
However, it does not mean that
this book is mathematics free.
Thus, "
gold,S0,d2l_preliminaries_index_b007,d2l_preliminaries,target,active,gold:deep learning,học sâu,88,95,học sâu,true,"iữ nội dung toán học ở mức tối thiểu cần thiết để có thể hiểu đúng về [[học sâu]]. Tuy nhiên, điều đó không có nghĩa là cuốn sách này không có toán học"
gold,S0,d2l_preliminaries_ndarray_b001,d2l_preliminaries,source,denominator,gold:data manipulation,data manipulation,2,19,Data Manipulation,true,"# [[Data Manipulation]]
:label:`sec_ndarray`"
gold,S0,d2l_preliminaries_ndarray_b001,d2l_preliminaries,target,active,gold:data manipulation,thao tác dữ liệu,2,18,Thao tác dữ liệu,true,# [[Thao tác dữ liệu]] :label:`sec_ndarray`
gold,S0,d2l_preliminaries_ndarray_b002,d2l_preliminaries,source,denominator,gold:data,data,72,76,data,true," order to get anything done, we need some way to store and manipulate [[data]].
Generally, there are two important things we need to do with data: ("
gold,S0,d2l_preliminaries_ndarray_b002,d2l_preliminaries,source,denominator,gold:data,data,139,143,data,true,"te data.
Generally, there are two important things we need to do with [[data]]: (i) acquire
them; and (ii) process them once they are inside the com"
gold,S0,d2l_preliminaries_ndarray_b002,d2l_preliminaries,source,denominator,gold:data,data,252,256,data,true,"em once they are inside the computer.  There is no
point in acquiring [[data]] without some way to store it, so let us get our hands
dirty first by "
gold,S0,d2l_preliminaries_ndarray_b002,d2l_preliminaries,source,denominator,gold:data,data,349,353,data,true,"ore it, so let us get our hands
dirty first by playing with synthetic [[data]].  To start, we introduce the
$n$-dimensional array, which is also cal"
